Category,Task,Priority,Status,Owner,DueDate,Notes,PlaybookReference
Identity - Day 0,Create Azure AD/Entra tenant,Critical,Not Started,,"",Verify custom domain,Day 0: Step 1
Identity - Day 0,Create two break-glass accounts,Critical,Not Started,,"",Store offline + test,Day 0: Step 2
Identity - Day 0,Enable Security Defaults (temporary),High,Not Started,,"",Disable after CA setup,Day 0: Step 3
Identity - Day 0,Disable legacy authentication,Critical,Not Started,,"",Block SMTP + basic auth,Day 0: Step 4
Identity - Day 0,Configure Conditional Access - MFA for all,Critical,Not Started,,"",Exclude break-glass,Day 0: Step 5
Identity - Day 0,Configure Conditional Access - Admin + device,Critical,Not Started,,"",Compliant device required,Day 0: Step 5
Identity - Day 0,Configure Conditional Access - Block risky,High,Not Started,,"",Medium+ risk,Day 0: Step 5
Identity - Day 0,Enable Privileged Identity Management (PIM),Critical,Not Started,,"",No standing Global Admins,Day 0: Step 6
Identity - Day 0,Configure admin consent workflow,High,Not Started,,"",Disable user consent,Day 0: Step 7
Identity - Day 0,Configure password policies,Medium,Not Started,,"",Custom banned list,Day 0: Step 8
Identity - Day 0,Enable Identity Protection,High,Not Started,,"",User + sign-in risk,Day 0: Step 8
Identity - Day 0,Configure guest user controls,Medium,Not Started,,"",Limit invitations,Day 0: Step 8
Identity - Day 0,Implement workload identity standard,High,Not Started,,"",Managed identities + OIDC,Day 0: Step 9
Management - Day 1,Create management group hierarchy,High,Not Started,,"",Platform/corp/sandbox/products,Day 1: Step 1
Management - Day 1,Create subscriptions per environment,High,Not Started,,"",dev/test/prod per product,Day 1: Step 2
Management - Day 1,Adopt Azure Landing Zone blueprint,Medium,Not Started,,"",Foundation architecture,Day 1: Step 3
Management - Day 1,Configure baseline RBAC,High,Not Started,,"",Assign to groups not users,Day 1: Step 4
Management - Day 1,Deny Owner role except break-glass,High,Not Started,,"",Use Contributor + scopes,Day 1: Step 4
Management - Day 1,Enable Defender for Cloud - VMs,High,Not Started,,"",Plan 2 recommended,Day 1: Step 5
Management - Day 1,Enable Defender for Cloud - App Services,High,Not Started,,"",Standard tier,Day 1: Step 5
Management - Day 1,Enable Defender for Cloud - SQL,High,Not Started,,"",Standard tier,Day 1: Step 5
Management - Day 1,Enable Defender for Cloud - Storage,High,Not Started,,"",With malware scanning,Day 1: Step 5
Management - Day 1,Enable Defender for Cloud - Kubernetes,High,Not Started,,"",Standard tier,Day 1: Step 5
Management - Day 1,Enable Defender for Cloud - Container Registry,High,Not Started,,"",Standard tier,Day 1: Step 5
